PERIOD,TYPE,MAIN_STAFF_GROUP,STAFF_GROUP,GRADE,AGE_BAND,HC,FTE
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8b,65 and over,9,7.83243
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8c,All age bands,1039,1008.64029
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8c,25 to 34,5,5.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8c,35 to 44,256,246.08907
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8c,45 to 54,635,618.77122
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8c,55 to 64,141,136.96667
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8c,65 and over,2,1.81333
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8d,All age bands,248,241.35351
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8d,35 to 44,54,53.2
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8d,45 to 54,162,157.72684
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8d,55 to 64,30,28.42667
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8d,65 and over,2,2.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 9,All age bands,53,49.7472
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 9,35 to 44,12,12.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 9,45 to 54,35,32.6
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 9,55 to 64,6,5.1472
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Non AfC Grade,All age bands,2220,1878.98499
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Non AfC Grade,Under 25,51,49.89333
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Non AfC Grade,25 to 34,400,347.12046
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Non AfC Grade,35 to 44,685,562.5672
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Non AfC Grade,45 to 54,768,671.35643
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Non AfC Grade,55 to 64,291,234.42239
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Non AfC Grade,65 and over,25,13.62518
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,All grades,All age bands,24042,19392.085
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,All grades,Under 25,779,756.50663
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,All grades,25 to 34,4559,3861.82162
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,All grades,35 to 44,6837,5290.06668
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,All grades,45 to 54,8921,7280.90806
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,All grades,55 to 64,2808,2124.48999
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,All grades,65 and over,138,78.29202
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 4,All age bands,5,6.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 4,Under 25,2,2.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 4,25 to 34,2,3.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 4,35 to 44,1,1.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 5,All age bands,1796,1560.66656
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 5,Under 25,373,360.00665
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 5,25 to 34,653,573.42352
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 5,35 to 44,531,432.75439
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 5,45 to 54,211,172.42199
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 5,55 to 64,28,22.06001
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 6,All age bands,16503,12746.38128
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 6,Under 25,399,389.49998
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 6,25 to 34,3509,2918.90746
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 6,35 to 44,5022,3731.99124
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 6,45 to 54,5680,4396.96759
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 6,55 to 64,1786,1252.07045
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 6,65 and over,107,56.94456
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 7,All age bands,5613,4744.95859
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 7,Under 25,1,1.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 7,25 to 34,372,326.89065
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 7,35 to 44,1282,1047.58105
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 7,45 to 54,2982,2553.23181
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 7,55 to 64,947,795.74042
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 7,65 and over,29,20.51466
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 8a,All age bands,181,169.53335
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 8a,25 to 34,14,13.12
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 8a,35 to 44,50,46.70667
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 8a,45 to 54,87,82.35334
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 8a,55 to 64,30,27.35334
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 8b,All age bands,35,33.18667
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 8b,35 to 44,5,5.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 8b,45 to 54,21,20.53333
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 8b,55 to 64,8,7.06667
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 8b,65 and over,1,0.58667
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 8c,All age bands,7,7.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 8c,45 to 54,5,5.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 8c,55 to 64,2,2.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 8d,All age bands,1,1.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Band 8d,35 to 44,1,1.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Non AfC Grade,All age bands,152,123.35855
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Non AfC Grade,Under 25,4,4.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Non AfC Grade,25 to 34,35,26.47999
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Non AfC Grade,35 to 44,29,24.03333
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Non AfC Grade,45 to 54,61,50.4
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Non AfC Grade,55 to 64,22,18.1991
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Midwives,Non AfC Grade,65 and over,1,0.24613
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,All grades,All age bands,18169,17440.85156
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,All grades,Under 25,526,513.07333
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,All grades,25 to 34,4277,4121.17895
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,All grades,35 to 44,6835,6515.65412
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,All grades,45 to 54,4845,4750.01687
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Ambulance staff,All grades,55 to 64,1645,1513.09791
