PERIOD,TYPE,MAIN_STAFF_GROUP,STAFF_GROUP,GRADE,AGE_BAND,HC,FTE
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 5,45 to 54,13,12.64
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 5,55 to 64,7,6.39333
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 5,65 and over,2,1.64
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 6,All age bands,1121,973.06229
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 6,Under 25,44,42.7
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 6,25 to 34,488,439.53995
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 6,35 to 44,240,202.58532
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 6,45 to 54,169,142.55009
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 6,55 to 64,157,129.21359
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 6,65 and over,23,16.47334
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 7,All age bands,224,195.0311
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 7,Under 25,1,0.92
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 7,25 to 34,75,67.1
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 7,35 to 44,56,50.97134
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 7,45 to 54,34,29.58667
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 7,55 to 64,54,43.32642
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 7,65 and over,4,3.12667
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 8a,All age bands,29,25.36454
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 8a,25 to 34,5,3.86667
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 8a,35 to 44,10,9.46667
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 8a,45 to 54,10,8.0312
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 8a,55 to 64,3,3.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 8a,65 and over,1,1.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 8b,All age bands,3,2.2
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 8b,25 to 34,2,1.2
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 8b,35 to 44,1,1.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 8d,All age bands,1,1.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 8d,65 and over,1,1.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Non AfC Grade,All age bands,4,3.50667
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Non AfC Grade,25 to 34,2,2.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Non AfC Grade,35 to 44,1,0.50667
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Non AfC Grade,45 to 54,1,1.0
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",All grades,All age bands,18971,16263.48069
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",All grades,Under 25,1302,1285.37333
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",All grades,25 to 34,8190,7503.89474
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",All grades,35 to 44,4539,3700.40844
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",All grades,45 to 54,1988,1602.70297
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",All grades,55 to 64,2355,1781.44434
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",All grades,65 and over,597,389.65687
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 4,All age bands,597,489.72296
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 4,Under 25,59,54.73999
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 4,25 to 34,266,230.33467
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 4,35 to 44,121,90.99361
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 4,45 to 54,64,52.34001
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 4,55 to 64,67,48.50135
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 4,65 and over,20,12.81333
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 5,All age bands,3972,3584.19849
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 5,Under 25,870,861.62666
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 5,25 to 34,1745,1618.4319
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 5,35 to 44,665,565.17191
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 5,45 to 54,327,278.745
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 5,55 to 64,253,191.10086
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 5,65 and over,112,69.12216
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 6,All age bands,6674,5690.4776
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 6,Under 25,352,348.10001
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 6,25 to 34,3320,3017.5309
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 6,35 to 44,1419,1140.9677
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 6,45 to 54,612,491.58884
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 6,55 to 64,769,564.27233
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 6,65 and over,202,128.01782
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 7,All age bands,5037,4136.13124
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 7,Under 25,15,14.90667
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 7,25 to 34,2231,1973.03607
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 7,35 to 44,1412,1116.76498
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 7,45 to 54,550,426.97554
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 7,55 to 64,681,506.35932
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 7,65 and over,148,98.08866
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8a,All age bands,2005,1603.15102
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8a,Under 25,1,1.0
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8a,25 to 34,648,567.86084
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8a,35 to 44,721,566.6795
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8a,45 to 54,256,196.87695
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8a,55 to 64,315,228.6404
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8a,65 and over,64,42.09333
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8b,All age bands,522,416.88255
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8b,25 to 34,67,56.25334
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8b,35 to 44,206,163.72267
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8b,45 to 54,90,71.23201
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8b,55 to 64,142,113.8812
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8b,65 and over,17,11.79333
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8c,All age bands,196,152.79417
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8c,25 to 34,10,8.6
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8c,35 to 44,47,38.44668
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8c,45 to 54,59,45.81301
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8c,55 to 64,64,49.63181
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8c,65 and over,16,10.30267
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8d,All age bands,64,53.6952
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8d,35 to 44,2,1.24987
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8d,45 to 54,11,8.6
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8d,55 to 64,42,36.272
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 8d,65 and over,9,7.57333
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 9,All age bands,23,19.07174
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 9,25 to 34,1,1.0
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 9,35 to 44,1,0.3
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 9,45 to 54,6,5.8
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 9,55 to 64,13,10.70507
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Band 9,65 and over,2,1.26667
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Non AfC Grade,All age bands,137,117.35572
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Non AfC Grade,Under 25,5,5.0
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Non AfC Grade,25 to 34,34,30.84702
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Non AfC Grade,35 to 44,23,16.11152
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Non AfC Grade,45 to 54,28,24.73161
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Non AfC Grade,55 to 64,35,32.08
202209 to 202309,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Non AfC Grade,65 and over,12,8.58557
202209 to 202309,Leavers,Support to clinical staff,All staff groups,All grades,All age bands,49937,41775.15374
202209 to 202309,Leavers,Support to clinical staff,All staff groups,All grades,Under 25,7543,6911.50025
202209 to 202309,Leavers,Support to clinical staff,All staff groups,All grades,25 to 34,16157,14094.15717
202209 to 202309,Leavers,Support to clinical staff,All staff groups,All grades,35 to 44,8509,6998.05188
202209 to 202309,Leavers,Support to clinical staff,All staff groups,All grades,45 to 54,6185,5202.53752
202209 to 202309,Leavers,Support to clinical staff,All staff groups,All grades,55 to 64,7596,5827.26004
202209 to 202309,Leavers,Support to clinical staff,All staff groups,All grades,65 and over,3947,2741.64688
202209 to 202309,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",All grades,All age bands,36246,29978.46214
202209 to 202309,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",All grades,Under 25,5151,4676.95179
